Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
12month_rolling,Ophthalmology,Cataract Surgery,"Hussain, Ahsen Ayyaz",,,,,133,169,62,146
12month_rolling,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 1,Yarmouth Regional,2025,1,21,49,30,73
12month_rolling,Urology,Male Circumcision  (Adult),"Massaro, Peter",,,,,292,602,252,442
2024_q3,,Bowel Resection - Laparoscopic,,Zone 1,Valley Regional,2024,3,15,270,40,82
3month_rolling,,Shoulder Arthroscopy,,Zone 1,Valley Regional,2025,1,74,391,59,163
2023_q2,,Wound Management,,Total,Provincial,2023,2,,,21,196
2023_q4,,Prostate Surgery - Laparoscopic,,Zone 4,QE2,2023,4,29,132,150,242
2024_q2,,Dental Extractions and Restorations  (Adult),,Zone 1,South Shore Regional,2024,2,84,215,78,234
2024_q2,,Female Incontinence Surgery,,Zone 4,QE2,2024,2,,,137,272
2023_q2,,Ear Tubes  (Pediatric),,Zone 3,St. Martha's Regional,2023,2,54,120,85,123
12month_rolling,,Head and Neck Surgery,,IWK,IWK,2025,1,,,75,157
2023_q1,,Dental Extractions and Restorations  (Pediatric),,Zone 2,Cumberland Regional,2023,1,36,63,43,65
2024_q1,,Surgery for Hearing or Balance Problems of the Ear,,IWK,IWK,2024,1,98,295,119,250
12month_rolling,Urology,Sacral Nerve Stimulation,"Cox, Ashley",,,,,91,91,134,230
2024_q4,,Hernia Repair - Laparoscopic Inguinal Femoral,,Total,Provincial,2024,4,118,604,106,321
2024_q1,,Knee Replacement,,Zone 4,QE2,2024,1,100,316,417,"1,342"
12month_rolling,Orthopaedic,Hip Replacement,"Wilson, David",,,,,91,168,24,52
12month_rolling,Otolaryngology (ENT),All,"Graham, Elise",,,,,276,392,92,328
2024_q4,,Septoplasty,,Zone 4,Dartmouth General,2024,4,144,"1,024",103,222
2024_q3,,Thoroscopy / Pleuroscopy,,Total,Provincial,2024,3,,,15,378
2023_q3,,Nerve or Brain Stimulation,,Zone 4,QE2,2023,3,,,22,54
2023_q1,,Colorectal Cancer Surgery,,Zone 1,Valley Regional,2023,1,26,121,38,79
2024_q2,,Prostate Surgery - Laparoscopic,,Total,Provincial,2024,2,20,42,174,239
2024_q3,,Knee Replacement,,Zone 4,QE2,2024,3,121,287,360,"1,111"
2024_q1,,Bowel Resection - Open,,Total,Provincial,2024,1,30,180,42,92
2024_q3,,Gallbladder Surgery,,Zone 2,Colchester East Hants Health Centre,2024,3,28,141,83,156
2024_q4,,Bladder Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2024,4,16,44,31,77
2024_q4,,Hernia Repair  (Adult),,Zone 4,Dartmouth General,2024,4,119,633,116,307
2023_q3,,Male Reproductive System Surgery,,Total,Provincial,2023,3,82,250,118,642
2024_q1,,Septoplasty,,Total,Provincial,2024,1,73,507,90,304
2023_q2,,Septoplasty,,Zone 1,Valley Regional,2023,2,364,418,75,174
2024_q4,,Carpal Tunnel Surgery,,Zone 3,St. Martha's Regional,2024,4,,,171,251
2024_q2,,Tonsillectomy and/or Adenoidectomy  (Adult),,Zone 4,Dartmouth General,2024,2,,,97,594
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Yaffe, Paul",,,,,365,460,107,136
2024_q2,,Palmar Fascia Excision for Dupuytren's Disease,,Total,Provincial,2024,2,154,716,87,265
2025_q1,,Gastric Surgery,,Zone 4,QE2,2025,1,10,21,31,51
12month_rolling,,Hernia Repair - Ventral,,Zone 4,Dartmouth General,2025,1,203,327,78,237
2024_q2,,Hysteroscopy,,Zone 3,St. Martha's Regional,2024,2,29,157,70,123
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"O'Sullivan, Colleen M",,,,,193,410,29,64
3month_rolling,,Septoplasty,,Zone 4,QE2,2025,1,43,322,,
12month_rolling,General Surgery,Gallbladder Surgery,"Nader, Nabil",,,,,19,59,47,89
2024_q1,,Breast Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2024,1,7,33,41,77
2023_q1,,Thoroscopy / Pleuroscopy,,Total,Provincial,2023,1,,,24,138
12month_rolling,Orthopaedic,Hip Replacement,"O'Brien, David A",,,,,495,678,291,496
2024_q3,,Hernia Repair  (Adult),,Zone 2,Colchester East Hants Health Centre,2024,3,40,204,99,222
12month_rolling,General Surgery,All,"Neumann, Katerina",,,,,68,330,71,369
2023_q2,,Hysterectomy  (Cancer Not Suspected),,Zone 1,South Shore Regional,2023,2,,,68,168
12month_rolling,,Gastrointestinal Tract Surgery,,Zone 1,Yarmouth Regional,2025,1,23,63,35,119
12month_rolling,General Surgery,Gallbladder Surgery,"Shih, Warren W",,,,,78,135,155,267
2024_q2,,Gallbladder Surgery,,Total,Provincial,2024,2,38,215,60,195
2024_q4,,Cataract Surgery,,Total,Provincial,2024,4,123,307,70,190
12month_rolling,,Oculo Plastic Surgery,,Zone 1,South Shore Regional,2025,1,,,98,363
12month_rolling,,Patella Surgery,,Total,Provincial,2025,1,55,428,150,246
12month_rolling,General Surgery,Peritoneal Lavage or Catherization,"Livingstone, Scott",,,,,17,38,11,21
12month_rolling,,Hip Arthroscopy,,Zone 4,Hants Community Hospital,2025,1,,,530,827
2023_q1,,Breast Cancer Surgery,,Total,Provincial,2023,1,14,35,24,49
12month_rolling,Urology,Male Reproductive System Surgery,"Ory, Jesse",,,,,159,549,187,450
2023_q2,,Gastrointestinal Tract Surgery,,Zone 1,South Shore Regional,2023,2,18,96,43,137
2024_q2,,Peritoneal Lavage or Catherization,,Zone 4,QE2,2024,2,,,14,22
2024_q3,,Strabismus Surgery  (Adult),,Zone 4,QE2,2024,3,95,598,150,491
2023_q2,,Kidney / Upper Urinary Tract,,Total,Provincial,2023,2,32,79,58,267
2023_q1,,Vitreoretinal Diseases,,Zone 4,QE2,2023,1,30,195,27,79
2023_q2,,Colorectal Cancer Surgery,,Total,Provincial,2023,2,17,100,29,66
2024_q1,,Hernia Repair - Incisional,,Zone 4,QE2,2024,1,77,731,108,910
2023_q1,,Glaucoma (Eye Pressure Lowering Surgery),,Zone 4,QE2,2023,1,36,297,18,81
2024_q3,,Gallbladder Surgery,,Zone 3,St. Martha's Regional,2024,3,29,69,156,286
2025_q1,,Pelvic Floor Repair,,Zone 2,Colchester East Hants Health Centre,2025,1,71,353,,
2024_q1,,Cataract Surgery,,Zone 2,Cumberland Regional,2024,1,212,255,63,126
2025_q1,,Bowel Resection,,Zone 4,QE2,2025,1,23,156,36,227
2024_q1,,Hip Replacement,,Total,Provincial,2024,1,154,402,118,571
2023_q3,,Laryngology and Vocal Cord Surgery,,Zone 4,QE2,2023,3,27,75,141,569
3month_rolling,,Ear Tubes  (Pediatric),,Zone 1,South Shore Regional,2025,1,,,30,79
2024_q2,,Cardioversion,,Total,Provincial,2024,2,,,12,15
2023_q3,,Pilonidal Cyst Surgery,,Total,Provincial,2023,3,105,382,50,218
2023_q1,,Bariatric Surgery (for Weight Loss),,Zone 4,QE2,2023,1,91,187,354,539
2025_q1,,Septoplasty,,Zone 3,Cape Breton Regional,2025,1,66,275,307,427
3month_rolling,,Kidney Stone Surgery,,Zone 1,Valley Regional,2025,1,37,277,31,78
2024_q1,,Tubal Ligation,,Total,Provincial,2024,1,78,333,107,223
2024_q2,,Knee Replacement,,Total,Provincial,2024,2,224,507,168,542
2025_q1,,Breast Cancer Surgery,,Zone 1,South Shore Regional,2025,1,13,22,16,26
2024_q3,,Pancreas Surgery,,Total,Provincial,2024,3,14,27,30,79
2023_q4,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 4,Dartmouth General,2023,4,15,104,24,45
3month_rolling,,Ear Tubes  (Pediatric),,Zone 1,Valley Regional,2025,1,71,208,108,132
2023_q3,,Cystoscopy,,Zone 4,Dartmouth General,2023,3,43,140,130,589
12month_rolling,Urology,Male Reproductive System Surgery,"Rent, Kenneth",,,,,32,67,56,233
2023_q4,,Cardioversion,,Total,Provincial,2023,4,,,17,34
2023_q4,,Craniotomy or Craniectomy,,Total,Provincial,2023,4,,,90,225
2023_q1,,Hysteroscopy,,Zone 2,Aberdeen Hospital,2023,1,83,164,26,62
2024_q4,,Cornea and External Disease,,Total,Provincial,2024,4,54,236,91,341
2023_q3,,Tubal Ligation,,Total,Provincial,2023,3,36,215,47,144
3month_rolling,,Brain Surgery  (Pediatric),,Total,Provincial,2025,1,,,9,36
3month_rolling,,Functional Endoscopic Sinus Surgery (FESS),,Zone 3,Glace Bay,2025,1,,,352,419
2025_q1,,Hysteroscopy,,Zone 1,Valley Regional,2025,1,41,344,35,91
2024_q4,,Knee Scope,,Zone 3,Cape Breton Regional,2024,4,70,101,,
2023_q3,,Shoulder Arthroplasty,,Total,Provincial,2023,3,92,498,275,537
2024_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 1,Yarmouth Regional,2024,4,69,290,30,97
12month_rolling,,Hernia Repair - Ventral,,Zone 3,Cape Breton Regional,2025,1,307,467,353,739
2023_q3,,Nose Surgery - Reconstructive or Aesthetic,,Total,Provincial,2023,3,89,186,29,210
12month_rolling,,Prostate Surgery,,Zone 2,Colchester East Hants Health Centre,2025,1,20,63,205,456
12month_rolling,Orthopaedic,Meniscectomy,"Urquhart, Nathan Alexander",,,,,38,72,142,147
2023_q4,,Knee Scope with ACL Repair,,Zone 4,QE2,2023,4,50,95,119,326
2024_q4,,Palmar Fascia Excision for Dupuytren's Disease,,Zone 4,QE2,2024,4,383,751,94,522
2024_q2,,Wound Management,,Total,Provincial,2024,2,,,11,20
12month_rolling,General Surgery,Hernia Repair - Laparoscopic Inguinal Femoral,"Enright, Jonathan Boyde",,,,,434,585,99,332
2024_q2,,Hip Replacement,,Zone 4,Dartmouth General,2024,2,254,429,161,466
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Parr, Grace",,,,,120,531,50,137
2024_q2,,Oculo Plastic Surgery,,Zone 3,Cape Breton Regional,2024,2,74,239,134,201
2023_q2,,Back Surgery  (Pediatric),,Total,Provincial,2023,2,,,482,715
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Roach, Eileen",,,,,219,423,294,348
2024_q3,,Hysteroscopy,,Zone 4,Dartmouth General,2024,3,38,169,61,108
12month_rolling,General Surgery,Bowel Resection - Laparoscopic,"Nader, Nabil",,,,,11,20,22,47
12month_rolling,Ophthalmology,Cataract Surgery,"Dickinson, John D",,,,,78,289,68,243
2023_q3,,Hernia Repair  (Adult),,Zone 1,South Shore Regional,2023,3,39,154,40,93
2023_q1,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 2,Aberdeen Hospital,2023,1,106,358,,
12month_rolling,,Bowel Resection - Laparoscopic,,Zone 1,South Shore Regional,2025,1,50,409,19,61
2023_q3,,Lacrimal Duct Probing,,Total,Provincial,2023,3,135,192,66,187
12month_rolling,,Foot - Arthrodesis,,Zone 1,Yarmouth Regional,2025,1,,,128,136
2023_q4,,Hysteroscopy,,Total,Provincial,2023,4,43,273,49,146
12month_rolling,,Hernia Repair - Laparoscopic Incisional,,Zone 3,Cape Breton Regional,2025,1,286,577,,
3month_rolling,General Surgery,,,,,2025,1,,,56,242
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Butler, Clay K",,,,,589,776,176,619
2024_q2,,Bowel Resection - Open,,Zone 1,South Shore Regional,2024,2,26,71,29,43
2025_q1,,Surgery for Hearing or Balance Problems of the Ear,,Zone 1,Yarmouth Regional,2025,1,100,223,29,57
2023_q3,,Kidney / Upper Urinary Tract,,Zone 3,Cape Breton Regional,2023,3,,,34,162
2023_q4,,Maxillofacial Deformity Surgery,,Total,Provincial,2023,4,311,541,225,336
12month_rolling,Neurosurgery,Brain Surgery  (Adult),"Weeks, Adrienne",,,,,7,35,8,67
2025_q1,,Spinal Cord Stimulation Surgery,,Total,Provincial,2025,1,,,47,85
12month_rolling,,Hernia Repair - Inguinal/Femoral,,Zone 3,Glace Bay,2025,1,348,642,67,250
3month_rolling,,Male Circumcision  (Adult),,Zone 1,Valley Regional,2025,1,,,110,278
12month_rolling,Orthopaedic,Knee Scope with ACL Repair,"El-Tahan, Tahmir H.",,,,,13,43,70,249
2025_q1,,Cataract Surgery,,Zone 4,QE2,2025,1,64,214,57,173
12month_rolling,General Surgery,Hernia Repair  (Adult),"Smith, Victoria",,,,,58,171,27,99
12month_rolling,Obstetrics/Gynaecology,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),"Cohen, Elissa",,,,,110,217,58,102
2023_q4,,Knee Scope,,Zone 2,Aberdeen Hospital,2023,4,62,224,69,182
2025_q1,,Vascular Bypass Surgery,,Total,Provincial,2025,1,,,14,99
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"Minor, Samuel",,,,,270,357,71,232
2024_q1,,Knee Replacement Revision,,Zone 4,QE2,2024,1,,,166,488
12month_rolling,Orthopaedic,Knee Replacement,"Sequeira, Stanislaus",,,,,172,283,473,628
2023_q4,,Cornea and External Disease,,Zone 4,QE2,2023,4,85,203,105,291
2024_q1,,Thyroid or Parathyroid Surgery,,Zone 4,Dartmouth General,2024,1,35,159,50,173
2024_q1,,Functional Endoscopic Sinus Surgery (FESS),,Zone 3,St. Martha's Regional,2024,1,,,76,258
2024_q4,,Bowel Resection,,Zone 1,Valley Regional,2024,4,30,323,53,109
2023_q4,,Knee Replacement,,Zone 3,Cape Breton Regional,2023,4,191,366,123,203
2024_q2,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),,Zone 3,St. Martha's Regional,2024,2,58,410,130,172
12month_rolling,Urology,Bladder Cancer Surgery,"Rent, Kenneth",,,,,15,50,31,87
2023_q4,,Hernia Repair  (Adult),,Zone 1,Yarmouth Regional,2023,4,24,91,52,159
12month_rolling,General Surgery,Hernia Repair  (Adult),"Jad, Ahmed",,,,,159,328,208,329
2024_q3,,Septoplasty,,Zone 4,Hants Community Hospital,2024,3,105,168,78,107
2023_q1,,Female Incontinence Surgery,,Zone 4,QE2,2023,1,,,97,470
12month_rolling,,Hernia Repair - Ventral,,Zone 1,Valley Regional,2025,1,44,161,81,119
2025_q1,,Coronary Artery Bypass Graft,,Total,Provincial,2025,1,,,39,82
2024_q2,,Hysteroscopy,,Zone 1,South Shore Regional,2024,2,32,139,43,91
12month_rolling,Otolaryngology (ENT),Head and Neck Surgery,"Williams, Blair",,,,,46,106,167,331
2024_q1,,Vitreoretinal Diseases,,Zone 4,QE2,2024,1,27,132,25,104
2024_q2,,Dental Extractions and Restorations  (Adult),,IWK,IWK,2024,2,,,560,"1,301"
2023_q2,,Bowel Resection - Laparoscopic,,Zone 3,Cape Breton Regional,2023,2,8,28,32,46
12month_rolling,Plastic Surgery,,,,,2025,1,,,56,246
12month_rolling,General Surgery,Gastrointestinal Tract Surgery - Laparoscopic,"Yaffe, Paul",,,,,26,117,42,63
12month_rolling,Otolaryngology (ENT),Laryngology and Vocal Cord Surgery,"Rigby, Matthew Hall",,,,,,,23,79
2024_q3,,Prostate Surgery - Laparoscopic,,Zone 4,QE2,2024,3,37,153,160,242
12month_rolling,Otolaryngology (ENT),All,"Corsten, P Gerard",,,,,139,359,109,341
2025_q1,,Hip Replacement,,Total,Provincial,2025,1,231,465,119,319
12month_rolling,Urology,Kidney Stone Surgery,"Lehmann, Kyle",,,,,,,65,126
12month_rolling,Obstetrics/Gynaecology,All,"Nee, Brigid",,,,,113,443,104,299
2023_q1,,Aneurysm Repair,,Zone 4,QE2,2023,1,34,133,52,271
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Nair, Cynthia",,,,,26,46,25,52
2023_q1,,Male Circumcision  (Adult),,Zone 2,Colchester East Hants Health Centre,2023,1,145,504,,
3month_rolling,,Shoulder Surgery,,Total,Provincial,2025,1,92,476,187,398
2024_q4,,Bowel Resection - Open,,Zone 1,Yarmouth Regional,2024,4,,,17,46
12month_rolling,,Angioplasty,,Total,Provincial,2025,1,19,62,29,189
2024_q3,,Back Surgery  (Pediatric),,IWK,IWK,2024,3,,,359,741
2024_q2,,Foot - Bunionectomy,,Total,Provincial,2024,2,,,109,141
2023_q3,,Aneurysm Repair,,Zone 4,QE2,2023,3,30,127,31,167
12month_rolling,Oral Maxillofacial,Bone / Cartilage Graft,"Doucet, Jean-Charles",,,,,63,154,194,359
2024_q3,,Septoplasty,,Zone 4,Dartmouth General,2024,3,83,133,119,332
2023_q2,,Nerve or Brain Stimulation,,Zone 4,QE2,2023,2,,,42,78
2023_q1,,Knee Replacement Revision,,Zone 4,Dartmouth General,2023,1,,,49,69
12month_rolling,,Hernia Repair - Laparoscopic Ventral,,Total,Provincial,2025,1,109,893,108,312
2023_q1,,Hernia Repair - Umbilical,,Zone 4,Dartmouth General,2023,1,264,426,158,685
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Nette, Farrell",,,,,178,464,227,359
12month_rolling,General Surgery,Gastric Surgery,"Helyer, Lucy K",,,,,13,16,20,32
2023_q4,,Esophagectomy / Esophageal Surgery,,Total,Provincial,2023,4,25,342,31,92
2024_q2,,Sacral Nerve Stimulation,,Zone 4,QE2,2024,2,,,136,228
2024_q2,,Hernia Repair - Inguinal/Femoral,,Zone 1,Valley Regional,2024,2,21,59,89,189
12month_rolling,General Surgery,Insertion Vascular Access Catheter,"Blackmore, Christopher",,,,,85,744,12,100
2024_q4,,Chest Scopes  (Adult),,Total,Provincial,2024,4,,,9,24
2023_q3,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 1,Valley Regional,2023,3,14,383,41,87
2025_q1,,Hernia Repair - Inguinal/Femoral,,Zone 2,Cumberland Regional,2025,1,47,205,69,114
2023_q4,,Shoulder Arthroscopy,,Zone 1,Valley Regional,2023,4,97,400,141,250
2024_q1,,Hip Replacement,,Zone 4,QE2,2024,1,123,246,121,"1,280"
2023_q1,,Hernia Repair - Incisional,,Total,Provincial,2023,1,61,376,113,365
12month_rolling,General Surgery,All,"Knapp, Gregory",,,,,20,78,35,81
2023_q1,,Gallbladder Surgery,,Zone 3,St. Martha's Regional,2023,1,20,99,78,188
2023_q3,,Hernia Repair  (Adult),,Zone 1,Valley Regional,2023,3,59,392,45,491
2024_q2,,Breast Reduction Surgery,,Zone 4,QE2,2024,2,"1,160","1,338",97,246
12month_rolling,General Surgery,Hernia Repair  (Adult),"Roach, Eileen",,,,,148,378,207,428
2024_q3,,Hip Replacement,,Zone 4,QE2,2024,3,153,259,57,549
2024_q1,,Bladder Cancer Surgery,,Zone 1,Valley Regional,2024,1,5,39,28,69
2023_q2,,Palmar Fascia Excision for Dupuytren's Disease,,Zone 1,South Shore Regional,2023,2,67,540,92,364
12month_rolling,General Surgery,Hernia Repair - Incisional,"Wasserman, Lukas",,,,,70,84,130,395
2024_q4,,Male Reproductive System Surgery,,Zone 3,Cape Breton Regional,2024,4,44,327,69,269
12month_rolling,General Surgery,Hernia Repair - Laparoscopic Inguinal Femoral,"Roach, Eileen",,,,,128,378,207,324
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Wasilewski, Leszek J",,,,,406,"1,281",84,215
2024_q1,,Thyroid or Parathyroid Surgery,,Zone 3,Cape Breton Regional,2024,1,81,135,119,209
2024_q1,,Gallbladder Surgery,,Total,Provincial,2024,1,37,286,54,181
2023_q2,,Strabismus Surgery  (Adult),,Zone 4,QE2,2023,2,334,566,211,421
12month_rolling,Otolaryngology (ENT),Tonsillectomy and/or Adenoidectomy  (Pediatric),"Piccott, Devin",,,,,108,354,209,356
12month_rolling,General Surgery,Hernia Repair  (Adult),"Butler, Clay K",,,,,208,776,154,840
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Lee, Winifred W",,,,,246,356,142,225
2023_q4,,Hip Replacement,,Zone 2,Aberdeen Hospital,2023,4,165,335,63,312
12month_rolling,,Tendon / Ligament Repair,,Zone 3,Inverness Consolidated Memorial,2025,1,158,320,69,98
2025_q1,,Shoulder Arthroscopy,,Zone 4,Hants Community Hospital,2025,1,70,145,77,306
2023_q4,,Male Reproductive System Surgery,,Zone 4,Dartmouth General,2023,4,74,260,175,771
2024_q2,,Prostatectomy,,Zone 4,QE2,2024,2,20,42,174,239
2023_q4,,Vitreoretinal Diseases,,Total,Provincial,2023,4,28,179,15,78
3month_rolling,,Glaucoma (Eye Pressure Lowering Surgery),,Total,Provincial,2025,1,45,498,21,79
2023_q4,,Hernia Repair - Inguinal/Femoral,,Zone 3,Cape Breton Regional,2023,4,54,371,99,496
2024_q1,,Temperomandibular Joint Surgery (TMJ),,Total,Provincial,2024,1,120,547,141,587
2024_q1,,Colorectal Cancer Surgery,,Total,Provincial,2024,1,19,114,31,69
12month_rolling,,Hernia Repair - Ventral,,IWK,IWK,2025,1,83,110,148,303
2024_q2,,Kidney Stone Surgery,,Zone 4,QE2,2024,2,31,112,54,126
12month_rolling,,Foot - Arthrodesis,,Zone 3,Cape Breton Regional,2025,1,47,55,90,133
2023_q4,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 3,St. Martha's Regional,2023,4,9,31,236,370
12month_rolling,,Laryngology and Vocal Cord Surgery,,Zone 4,QE2,2025,1,42,166,50,736
12month_rolling,Neurosurgery,All,"Weeks, Adrienne",,,,,9,40,14,79
12month_rolling,Urology,Cystoscopy,"Butler, Trevor",,,,,2,3,46,154
2024_q1,,Peritoneal Lavage or Catherization,,Total,Provincial,2024,1,,,10,16
2023_q4,,Kidney Stone Surgery,,Zone 4,QE2,2023,4,33,71,41,117
12month_rolling,Urology,Kidney Stone Surgery,"McCarthy, John Paul",,,,,,,23,112
2024_q2,,Shoulder Arthroscopy,,Zone 1,South Shore Regional,2024,2,66,168,161,261
